                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                0.85651,                0.49927,                0.12824,                0.59442,                 0.4535,                0.47311,                0.28986,                0.57769,                0.58198,                0.06447,                 0.0001,                 0.0001,                 0.0001
                    120,                0.84672,                0.50275,                0.12756,                0.59732,                0.45298,                0.47356,                0.28994,                0.57729,                0.58128,                 0.0643,                 0.0001,                 0.0001,                 0.0001
                    121,                 0.8585,                0.50083,                0.13037,                  0.599,                0.45377,                0.47415,                0.29028,                 0.5765,                0.58175,                0.06413,                 0.0001,                 0.0001,                 0.0001
                    122,                0.84699,                0.50124,                 0.1282,                0.59921,                0.45408,                  0.474,                0.29019,                0.57624,                0.58146,                0.06412,                 0.0001,                 0.0001,                 0.0001
                    123,                0.86354,                0.49862,                0.13095,                0.59991,                0.45423,                0.47439,                0.29053,                0.57616,                0.58118,                0.06416,                 0.0001,                 0.0001,                 0.0001
                    124,                0.85959,                0.49665,                0.13127,                0.59861,                0.45698,                0.47537,                0.29162,                0.57573,                0.58118,                0.06414,                 0.0001,                 0.0001,                 0.0001
                    125,                0.84988,                0.50069,                0.13105,                0.59946,                0.45742,                0.47554,                0.29203,                 0.5748,                0.58137,                 0.0639,                 0.0001,                 0.0001,                 0.0001
                    126,                0.85887,                0.49809,                0.13482,                0.60017,                 0.4585,                0.47642,                0.29259,                0.57421,                0.58158,                0.06384,                 0.0001,                 0.0001,                 0.0001
                    127,                0.83412,                0.50082,                0.12611,                 0.5997,                0.46005,                0.47674,                0.29301,                0.57434,                0.58105,                 0.0638,                 0.0001,                 0.0001,                 0.0001
                    128,                0.83762,                0.50158,                0.12384,                0.60275,                0.45914,                0.47726,                0.29317,                0.57466,                0.58048,                0.06386,                 0.0001,                 0.0001,                 0.0001
                    129,                0.85515,                 0.4973,                0.12918,                0.60007,                0.46066,                0.47796,                0.29351,                0.57447,                0.58022,                0.06388,                 0.0001,                 0.0001,                 0.0001
                    130,                0.84561,                0.49879,                0.12699,                0.60092,                0.45988,                0.47797,                0.29355,                0.57441,                0.57992,                0.06414,                 0.0001,                 0.0001,                 0.0001
                    131,                0.85091,                 0.4992,                0.13082,                0.60052,                0.46314,                 0.4796,                0.29412,                 0.5738,                0.57999,                0.06408,                 0.0001,                 0.0001,                 0.0001
                    132,                0.84321,                 0.4998,                0.12739,                0.60477,                0.46094,                0.48015,                0.29481,                 0.5735,                0.57954,                0.06416,                 0.0001,                 0.0001,                 0.0001
                    133,                 0.8419,                0.49884,                0.12673,                0.60558,                0.46072,                   0.48,                0.29472,                0.57318,                0.57913,                 0.0641,                 0.0001,                 0.0001,                 0.0001
                    134,                0.83802,                 0.5012,                0.12588,                0.60594,                0.46065,                 0.4803,                0.29486,                0.57276,                 0.5792,                0.06406,                 0.0001,                 0.0001,                 0.0001
                    135,                0.84577,                0.49901,                0.12801,                    0.6,                0.46377,                0.48096,                0.29556,                0.57239,                0.57904,                0.06402,                 0.0001,                 0.0001,                 0.0001
                    136,                0.84879,                0.49972,                0.12938,                0.60049,                0.46536,                0.48293,                0.29617,                0.57196,                0.57919,                 0.0639,                 0.0001,                 0.0001,                 0.0001
                    137,                 0.8458,                0.49799,                0.12822,                0.60387,                0.46571,                0.48356,                0.29666,                0.57073,                0.57967,                0.06362,                 0.0001,                 0.0001,                 0.0001
                    138,                0.83564,                 0.4991,                0.12379,                0.60231,                0.46479,                0.48352,                0.29671,                0.57104,                0.57933,                0.06386,                 0.0001,                 0.0001,                 0.0001
                    139,                0.82582,                 0.4994,                0.12335,                 0.6025,                0.46467,                0.48341,                0.29715,                0.57052,                0.57965,                0.06374,                 0.0001,                 0.0001,                 0.0001
