                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                0.86267,                0.50223,                0.12598,                0.60427,                0.46165,                0.47704,                0.29173,                0.59191,                0.58166,                 0.0645,                 0.0001,                 0.0001,                 0.0001
                    123,                0.87456,                0.50128,                0.12794,                0.60802,                0.45956,                0.47642,                0.29146,                0.59195,                0.58127,                 0.0645,                 0.0001,                 0.0001,                 0.0001
                    124,                0.87167,                0.49803,                0.12836,                0.60545,                0.46316,                0.47781,                 0.2919,                0.59166,                0.58104,                0.06439,                 0.0001,                 0.0001,                 0.0001
                    125,                0.86296,                0.50166,                0.12741,                0.60726,                0.46445,                0.47847,                0.29258,                0.59176,                0.58053,                 0.0644,                 0.0001,                 0.0001,                 0.0001
                    126,                 0.8718,                    0.5,                0.13181,                0.61063,                 0.4621,                0.47853,                0.29269,                0.59098,                0.58064,                0.06431,                 0.0001,                 0.0001,                 0.0001
                    127,                0.84722,                 0.5023,                 0.1217,                0.61196,                0.46311,                0.47892,                0.29308,                 0.5908,                0.58048,                0.06431,                 0.0001,                 0.0001,                 0.0001
                    128,                0.85334,                0.50232,                0.12163,                0.61324,                 0.4652,                0.48013,                0.29418,                0.59109,                0.58009,                0.06413,                 0.0001,                 0.0001,                 0.0001
                    129,                0.86976,                0.49789,                0.12503,                0.61457,                0.46392,                0.48037,                 0.2943,                0.59034,                0.58014,                 0.0639,                 0.0001,                 0.0001,                 0.0001
                    130,                0.85983,                0.50147,                 0.1249,                0.61353,                0.46395,                0.48096,                0.29456,                0.59006,                0.57987,                0.06389,                 0.0001,                 0.0001,                 0.0001
                    131,                0.86403,                0.50008,                0.12742,                 0.6136,                 0.4663,                 0.4819,                0.29513,                0.58899,                0.58065,                0.06384,                 0.0001,                 0.0001,                 0.0001
                    132,                0.86062,                0.49988,                0.12523,                0.61154,                0.46709,                0.48262,                0.29565,                0.58855,                0.58034,                0.06385,                 0.0001,                 0.0001,                 0.0001
                    133,                0.85724,                0.50069,                0.12426,                0.61176,                0.46758,                0.48298,                0.29594,                0.58868,                0.57999,                0.06391,                 0.0001,                 0.0001,                 0.0001
                    134,                0.85453,                0.50432,                0.12442,                0.61048,                0.46733,                0.48315,                0.29591,                0.58829,                0.58035,                 0.0638,                 0.0001,                 0.0001,                 0.0001
                    135,                 0.8567,                0.50104,                0.12407,                0.61224,                0.46853,                0.48465,                0.29709,                0.58756,                0.58064,                0.06362,                 0.0001,                 0.0001,                 0.0001
                    136,                0.85704,                0.50227,                0.12486,                0.61127,                0.46757,                0.48399,                0.29696,                0.58749,                 0.5802,                0.06361,                 0.0001,                 0.0001,                 0.0001
                    137,                0.85509,                0.50072,                0.12578,                0.61224,                0.46529,                0.48377,                0.29667,                0.58628,                0.58094,                0.06323,                 0.0001,                 0.0001,                 0.0001
                    138,                 0.8488,                0.50058,                0.11997,                0.60973,                0.46758,                0.48426,                0.29703,                0.58656,                0.58032,                0.06343,                 0.0001,                 0.0001,                 0.0001
                    139,                0.84206,                0.50192,                0.12049,                0.61347,                0.46819,                0.48493,                0.29773,                0.58629,                0.58026,                0.06358,                 0.0001,                 0.0001,                 0.0001
                    140,                 0.8476,                0.50441,                0.12086,                 0.6138,                0.46771,                0.48507,                0.29768,                0.58594,                0.58028,                0.06352,                 0.0001,                 0.0001,                 0.0001
                    141,                0.84904,                0.49997,                0.12541,                0.61562,                  0.469,                0.48588,                0.29841,                0.58628,                0.58009,                0.06358,                 0.0001,                 0.0001,                 0.0001
                    142,                0.84438,                0.50259,                0.12131,                0.61485,                0.46928,                0.48548,                0.29812,                0.58614,                0.58009,                0.06366,                 0.0001,                 0.0001,                 0.0001
                    143,                  0.853,                0.49963,                 0.1235,                0.61517,                0.46945,                0.48541,                0.29794,                0.58543,                0.58045,                0.06342,                 0.0001,                 0.0001,                 0.0001
                    144,                0.85678,                 0.4994,                0.12441,                0.61733,                 0.4682,                0.48528,                0.29797,                0.58519,                0.58043,                0.06339,                 0.0001,                 0.0001,                 0.0001
                    145,                0.84075,                0.50126,                0.12221,                0.61213,                0.47092,                0.48484,                0.29787,                0.58469,                0.58038,                0.06335,                 0.0001,                 0.0001,                 0.0001
                    146,                0.84804,                0.50021,                0.12302,                 0.6131,                 0.4704,                0.48717,                  0.299,                0.58431,                0.58025,                0.06322,                 0.0001,                 0.0001,                 0.0001
                    147,                0.84641,                0.49984,                0.12166,                0.61104,                0.47126,                0.48652,                0.29915,                0.58449,                0.57988,                0.06316,                 0.0001,                 0.0001,                 0.0001
                    148,                0.84814,                0.49972,                0.12212,                0.61133,                0.47156,                0.48681,                0.29956,                0.58442,                0.57958,                0.06329,                 0.0001,                 0.0001,                 0.0001
                    149,                0.84987,                0.49627,                0.12435,                0.61515,                0.47044,                0.48738,                 0.3002,                0.58385,                0.57992,                0.06338,                 0.0001,                 0.0001,                 0.0001
                    150,                0.84526,                0.50185,                0.12031,                0.61826,                0.46952,                0.48748,                 0.2998,                0.58406,                0.57976,                0.06327,                 0.0001,                 0.0001,                 0.0001
                    151,                0.84692,                0.49857,                0.12159,                0.61742,                0.46922,                0.48736,                 0.2997,                 0.5834,                0.57996,                0.06308,                 0.0001,                 0.0001,                 0.0001
                    152,                0.83811,                0.50074,                0.12096,                0.61779,                 0.4707,                0.48825,                0.30005,                0.58314,                0.57978,                0.06327,                 0.0001,                 0.0001,                 0.0001
                    153,                0.84368,                0.49744,                0.12255,                0.61878,                0.47252,                0.48943,                0.30076,                0.58247,                0.58011,                0.06304,                 0.0001,                 0.0001,                 0.0001
                    154,                0.84274,                0.49931,                0.12152,                0.61618,                0.47163,                0.48957,                0.30106,                 0.5822,                   0.58,                0.06308,                 0.0001,                 0.0001,                 0.0001
                    155,                0.84053,                0.49906,                0.11791,                0.61683,                 0.4716,                0.48955,                0.30081,                0.58184,                0.58008,                0.06302,                 0.0001,                 0.0001,                 0.0001
                    156,                0.84433,                0.49728,                0.12144,                0.61553,                0.47321,                 0.4904,                0.30113,                0.58103,                0.58031,                0.06284,                 0.0001,                 0.0001,                 0.0001
